 ID	ligand	receptor	description(ligand)	description(receptor)	primary location(ligand)	alternate location(ligand)	primary location(receptor)	alternate location(receptor)	PubmedID	KEGG																									
3313	CD80	CD28	CD80 antigen precursor	CD28 antigen precursor	Plasma membrane	---	Plasma membrane	---	7545666	05332_Graft-versus-host disease_	 activation	05416_Viral myocarditis_	 activation	05322_Systemic lupus erythematosus_	 activation	05320_Autoimmune thyroid disease_	 activation	05330_Allograft rejection_	 activation	04940_Type I diabetes mellitus_	 activation	04514_Cell adhesion molecules (CAMs)_	 activation	04514_Cell adhesion molecules (CAMs)_	 activation	04672_Intestinal immune network for IgA production_	 activation binding/association	04672_Intestinal immune network for IgA production_	 activation binding/association						
2535	CFH	C3	complement factor H isoform a precursor	complement component 3 precursor	Extracellular	Endoplasmic reticulum	Extracellular	Endosome	11367533///9988761	04610_Complement and coagulation cascades_	 inhibition																								
799	CFI	C3	complement factor I preproprotein	complement component 3 precursor	Extracellular	---	Extracellular	Endosome	1401896///9291131	04610_Complement and coagulation cascades_	 inhibition																								
4103	CGA	LHCGR	"glycoprotein hormones, alpha polypeptide"	luteinizing hormone/choriogonadotropin receptor	Extracellular	Endoplasmic reticulum///Golgi apparatus	Plasma membrane	---	10342833	04080_Neuroactive ligand-receptor interaction_	 activation																								
1169	CHRD	BMP2	chordin	bone morphogenetic protein 2 preproprotein	Extracellular	---	Extracellular	---	15064755	04350_TGF-beta signaling pathway_	 inhibition																								
1620	CLCF1	CNTFR	cardiotrophin-like cytokine factor 1	ciliary neurotrophic factor receptor	Extracellular	---	Plasma membrane	---	10966616///11294841///11285233	04060_Cytokine-cytokine receptor interaction_	 activation																								
741	CLDN3	CLDN1	claudin 3	claudin 1	Plasma membrane	---	Plasma membrane	---	12909588///10562289	04530_Tight junction_	 binding/association	04530_Tight junction_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association	04670_Leukocyte transendothelial migration_	 binding/association	04670_Leukocyte transendothelial migration_	 binding/association														
2053	CLDN5	CLDN3	claudin 5	claudin 3	Plasma membrane	---	Plasma membrane	---	12909588	04530_Tight junction_	 binding/association	04530_Tight junction_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association	04670_Leukocyte transendothelial migration_	 binding/association	04670_Leukocyte transendothelial migration_	 binding/association														
687	CNTF	CNTFR	ciliary neurotrophic factor	ciliary neurotrophic factor receptor	Extracellular	Cytoplasm	Plasma membrane	---	8627290///7810882///10812968	04060_Cytokine-cytokine receptor interaction_	 activation																								
3097	CNTF	IL6ST	ciliary neurotrophic factor	interleukin 6 signal transducer isoform 2	Extracellular	Cytoplasm	Plasma membrane	Extracellular	12643274///16051226	04060_Cytokine-cytokine receptor interaction_	 activation																								
2336	CNTF	LIFR	ciliary neurotrophic factor	leukemia inhibitory factor receptor precursor	Extracellular	Cytoplasm	Plasma membrane	Endoplasmic reticulum	12643274///16051226	04060_Cytokine-cytokine receptor interaction_	 activation																								
1701	CNTN2	CNTNAP2	contactin 2 precursor	cell recognition molecule Caspr2 precursor	Plasma membrane	Extracellular	Plasma membrane	---	12975355	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association																						
2615	CNTN2	L1CAM	contactin 2 precursor	L1 cell adhesion molecule isoform 3 precursor	Plasma membrane	Extracellular	Plasma membrane	---	12139915	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association																						
1951	CNTNAP1	NFASC	contactin associated protein 1 precursor	neurofascin isoform 6 precursor	Plasma membrane	---	Plasma membrane	---	11839274	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association																						
2753	COL1A1	CD44	alpha 1 type I collagen preproprotein	CD44 antigen isoform 5 precursor	Extracellular	---	Plasma membrane	Cytoplasm///Nucleus	1730778	04512_ECM-receptor interaction_	 activation																								
303	COL1A1	ITGA2	alpha 1 type I collagen preproprotein	integrin alpha 2 precursor	Extracellular	---	Plasma membrane	Cytoplasm	11359786///11856343///2156854	04512_ECM-receptor interaction_	 activation	04510_Focal adhesion_	 activation																						
3942	COL1A1	ITGA5	alpha 1 type I collagen preproprotein	integrin alpha 5 precursor	Extracellular	---	Plasma membrane	---	1693626	04510_Focal adhesion_	 activation																								
2236	COL1A2	CD44	alpha 2 type I collagen	CD44 antigen isoform 5 precursor	Extracellular	---	Plasma membrane	Cytoplasm///Nucleus	1730778	04512_ECM-receptor interaction_	 activation																								
250	COL1A2	ITGA2	alpha 2 type I collagen	integrin alpha 2 precursor	Extracellular	---	Plasma membrane	Cytoplasm	2156854	04512_ECM-receptor interaction_	 activation	04510_Focal adhesion_	 activation																						
254	COL1A2	ITGA2B	alpha 2 type I collagen	integrin alpha 2b preproprotein	Extracellular	---	Plasma membrane	---	11359786	04510_Focal adhesion_	 activation																								
158	COL1A2	ITGB3	alpha 2 type I collagen	"integrin beta chain, beta 3 precursor"	Extracellular	---	Plasma membrane	---	1693626	04510_Focal adhesion_	 activation																								
1713	COL2A1	ITGA2B	"collagen, type II, alpha 1 isoform 1 precursor"	integrin alpha 2b preproprotein	Extracellular	---	Plasma membrane	---	10772239///7520045	04510_Focal adhesion_	 activation																								
3435	COL5A1	SDC3	alpha 1 type V collagen preproprotein	syndecan 3	Extracellular	---	Plasma membrane	---	11751872	04512_ECM-receptor interaction_	 activation																								
2033	CRH	CRHR1	corticotropin releasing hormone precursor	corticotropin releasing hormone receptor 1	Extracellular	Cytoplasm	Plasma membrane	---	9178757	04730_Long-term depression_	 activation																								
55	CSF1	CSF1R	colony stimulating factor 1 isoform a precursor	colony stimulating factor 1 receptor precursor	Extracellular	---	Plasma membrane	---	2408759///8355686	04060_Cytokine-cytokine receptor interaction_	 activation																								
1848	CSF2	CSF2RB	colony stimulating factor 2 precursor	"colony stimulating factor 2 receptor, beta"	Extracellular	---	Plasma membrane	---	8278375///2645577	04060_Cytokine-cytokine receptor interaction_	 activation																								
2882	CSF3	CSF3R	colony stimulating factor 3 isoform c	colony stimulating factor 3 receptor isoform b	Extracellular	---	Plasma membrane	Extracellular///Lysosome///Early endosome	10364174	04060_Cytokine-cytokine receptor interaction_	 activation																								
2325	CTF1	IL6ST	cardiotrophin 1 isoform 2	interleukin 6 signal transducer isoform 2	Extracellular	---	Plasma membrane	Extracellular	11834704	04060_Cytokine-cytokine receptor interaction_	 activation																								
2196	CTF1	LIFR	cardiotrophin 1 isoform 2	leukemia inhibitory factor receptor precursor	Extracellular	---	Plasma membrane	Endoplasmic reticulum	11834704	04060_Cytokine-cytokine receptor interaction_	 activation																								
1639	CTSG	F2R	cathepsin G preproprotein	coagulation factor II receptor precursor	Extracellular	Plasma membrane///Cytoplasm///Lysosome///Golgi apparatus	Plasma membrane	Endosome	10978167	04080_Neuroactive ligand-receptor interaction_	 activation																								
1935	CTSG	F2RL1	cathepsin G preproprotein	coagulation factor II (thrombin) receptor-like 1	Extracellular	Plasma membrane///Cytoplasm///Lysosome///Golgi apparatus	Plasma membrane	Cell surface///Late endosome///Lysosome///Cytoplasmic vesicle///Golgi apparatus	10978167	04080_Neuroactive ligand-receptor interaction_	 activation																								
371	CTSG	F2RL2	cathepsin G preproprotein	coagulation factor II (thrombin) receptor-like 2	Extracellular	Plasma membrane///Cytoplasm///Lysosome///Golgi apparatus	Plasma membrane	Cytoplasm///Cell junction	11307827	04080_Neuroactive ligand-receptor interaction_	 activation																								
1989	CX3CL1	CX3CR1	chemokine (C-X3-C motif) ligand 1	chemokine (C-X3-C motif) receptor 1	Plasma membrane	Extracellular	Plasma membrane	---	9931005///9390561	04062_Chemokine signaling pathway_	 activation binding/association	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																				
490	CXCL1	IL8RA	chemokine (C-X-C motif) ligand 1	interleukin 8 receptor alpha	Extracellular	---	Plasma membrane	---	1379593///8702798	04062_Chemokine signaling pathway_	 activation binding/association																								
2845	CXCL1	IL8RB	chemokine (C-X-C motif) ligand 1	interleukin 8 receptor beta	Extracellular	---	Plasma membrane	Cytoplasm///Endosome	8550564///8940121///8702798///1379593	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3584	CXCL10	CCR3	small inducible cytokine B10 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	11110785	04062_Chemokine signaling pathway_	 activation binding/association																								
